97,0.084925,0.01924
98,0.011826,0.007623
99,0.0332,0.010771
100,0.044686,0.013422
101,0.148255,0.020125
102,0.009933,0.006467
103,0.01401,0.008147
104,0.008746,0.005759
105,0.073977,0.016743
106,0.003104,0.004307
107,0.001983,0.003187
108,0.064468,0.016794
109,0.028125,0.010851
110,0.074679,0.012986
111,0.054295,0.014033
112,0.030555,0.011414
113,0.008423,0.006137
114,0.071008,0.015373
115,0.078957,0.02283
116,0.070583,0.014967
117,0.060309,0.014049
118,0.013419,0.006947
119,0.000931,0.002371
120,0.004405,0.004129
121,0.003798,0.004463
122,0.001401,0.002494
