97,0.085062,0.013927
98,0.016489,0.007065
99,0.036042,0.010339
100,0.040541,0.010548
101,0.118994,0.013137
102,0.023558,0.007731
103,0.018307,0.005227
104,0.048435,0.010061
105,0.073663,0.011792
106,0.00136,0.002351
107,0.006291,0.004895
108,0.043581,0.011868
109,0.025405,0.00828
110,0.073228,0.012592
111,0.076391,0.012863
112,0.02119,0.007062
113,0.000943,0.001301
114,0.064811,0.011682
115,0.06572,0.012162
116,0.089809,0.01291
117,0.025492,0.007282
118,0.009654,0.004668
119,0.015937,0.006302
120,0.001958,0.002094
121,0.016246,0.006474
122,0.000875,0.001419
233,0.000019,0.000192
